author,publish_year,title,abstract
Z. Xie; H. Van de Sompel; J. Liu; J. van Reenen; R. Jordan; Acm,2013,Archiving the Relaxed Consistency Web,"The historical, cultural, and intellectual importance of archiving the web has been widely recognized. Today, all countries with high Internet penetration rate have established high-profile archiving initiatives to crawl and archive the fast-disappearing web content for long-term use. As web technologies evolve, established web archiving techniques face challenges. This paper focuses on the potential impact of the relaxed consistency web design on crawler driven web archiving. Relaxed consistent websites may disseminate, albeit ephemerally, inaccurate and even contradictory information. If captured and preserved in the web archives as historical records, such information will degrade the overall archival quality. To assess the extent of such quality degradation, we build a simplified feed-following application and simulate its operation with synthetic workloads. The results indicate that a non-trivial portion of a relaxed consistency web archive may contain observable inconsistency, and the inconsistency window may extend significantly longer than that observed at the data store. We discuss the nature of such quality degradation and propose a few possible remedies."
Z. Zahidi; Y. P. Lim; P. C. Woods,2013,User experience for digitisation and preservation of cultural heritage,"This paper addresses the importance to integrate user experience (UX) in cultural heritage digitisation and preservation initiatives. UX is an essential consideration that should be acknowledged and implemented when initiating digital culture heritage preservation. It is because UX is beyond the usability of a product or system. It includes both pragmatic (function and features) and hedonic (user expectation, motivation and feelings) factors. These attributes could influence user's positive experience when interacting with the system or product and this will lead to effectiveness of digitisation and preservation activities. The output from this study will propose the approach towards integrating UX and gather insights for future initiatives in establishing cultural and heritage digital preservation that consider effective UX to encourage user satisfaction. © 2013 IEEE."
,2013,Digital liaisons: Engaging with digital curation theory and practice,"As librarians and information professionals are increasingly tasked with curating and making accessible digital materials, new information professionals must enter the workforce armed with the appropriate skills. New professionals must know both the theoretical underpinnings of digital curation and how to put those theories into practice in real life applications. This proposed session would provide undergraduates, master's students, and early professionals with the opportunity to engage with the theories and applications of digital curation, and to present on meaningful projects and experiences they have had, whether as a student or a practitioner. Participation would include posters and lightning talks to highlight the unique and valuable research and experiences this community has had engaging with digital curation theories and practice."
A. Ahmed; S. Alreyaee; A. Rahman,2014,Theses and dissertations in institutional repositories: An Asian perspective,"Purpose - Institutional repositories constitute an integral part of present day digital libraries allowing global access to scholarly publications and provides an opportunity for future research enhancement and long term preservation of information. Electronic theses and dissertations (ETDs) represent a growing segment of available content in institutional repositories where they contribute to the impact and ranking of their institutions. The present study traces the growth and development of online e-theses repositories in Asia within the broader framework of open access. Design/methodology/approach - The present study tries to discover the composition of ETD repositories in Asia based on the seven key parameters, i.e. country, types, language, disciplines, software, content types and repository policies. To achieve the stated objectives, the ETD repositories developed by Asian countries were identified by selecting the database of OpenDOAR (Directory of Open Access Repositories) and the retrieved data were thoroughly analyzed for the necessary information. Findings - Theses and dissertations are considered an important part of information resources in any institution. They are often the only source of research work. Unfortunately, access to these valuable unpublished resources is often restricted to parent institution only. The authors found that ETD repositories are addressing this problem by making institutional knowledge available online and thereby not only increasing its visibility and use, but also making them contribute to the impact and ranking of their institutions. Asian countries are beginning to embrace the idea of digitizing, archiving and making their theses and dissertations available online. The study found that more than half of all IRs listed in the directory of OpenDOAR contain ETDs. ETD system is growing fast in some Asian countries. However, the number of universities having e-theses repositories is meager considering the large number of quality academic and research institutions across Asian countries. Practical implications - The paper argues that ETD repositories not only benefit students and institutions by enhancing education and expanding research, but also by increasing a university’s visibility and use and thereby contributing to the impact and ranking of its parent institutions. Originality/value - The study hopes to heighten awareness of research being conducted in Asia and its contribution to a global knowledge base. Some of the suggestions to improve the existing conditions and strengthen the growth rate of ETDs in Asia are also presented. © ."
A. Das; A. Bucksch; C. A. Price; J. S. Weitz,2014,ClearedLeavesDB: an online database of cleared plant leaf images,"Background: Leaf vein networks are critical to both the structure and function of leaves. A growing body of recent work has linked leaf vein network structure to the physiology, ecology and evolution of land plants. In the process, multiple institutions and individual researchers have assembled collections of cleared leaf specimens in which vascular bundles ( veins) are rendered visible. In an effort to facilitate analysis and digitally preserve these specimens, high-resolution images are usually created, either of entire leaves or of magnified leaf subsections. In a few cases, collections of digital images of cleared leaves are available for use online. However, these collections do not share a common platform nor is there a means to digitally archive cleared leaf images held by individual researchers ( in addition to those held by institutions). Hence, there is a growing need for a digital archive that enables online viewing, sharing and disseminating of cleared leaf image collections held by both institutions and individual researchers.Description: The Cleared Leaf Image Database ( ClearedLeavesDB), is an online web-based resource for a community of researchers to contribute, access and share cleared leaf images. ClearedLeavesDB leverages resources of large-scale, curated collections while enabling the aggregation of small-scale collections within the same online platform. ClearedLeavesDB is built on Drupal, an open source content management platform. It allows plant biologists to store leaf images online with corresponding meta-data, share image collections with a user community and discuss images and collections via a common forum. We provide tools to upload processed images and results to the database via a web services client application that can be downloaded from the database.Conclusions: We developed ClearedLeavesDB, a database focusing on cleared leaf images that combines interactions between users and data via an intuitive web interface. The web interface allows storage of large collections and integrates with leaf image analysis applications via an open application programming interface ( API). The open API allows uploading of processed images and other trait data to the database, further enabling distribution and documentation of analyzed data within the community. The initial database is seeded with nearly 19,000 cleared leaf images representing over 40 GB of image data. Extensible storage and growth of the database is ensured by using the data storage resources of the iPlant Discovery Environment. ClearedLeavesDB can be accessed at http://clearedleavesdb.org."
A. Di Iorio; M. Schaerf; M. Guercio; S. Ortolani; M. Bertazzo,2014,A Digital Infrastructure for Trustworthiness: The Sapienza Digital Library Experience,"The building process of Sapienza Digital Library's (SDL) digital resources was designed for collecting the information required by the Open Archival Information System (OAIS) Preservation Description Information(PDI): Provenance, Reference, Fixity, Context, and Access Rights Information. The Submission Information Packages'(SIP) preservation metadata was encoded in the semantics of the PREMIS standard which is the implementation metadata set, mapped from the OAIS conceptual model. The conformant implementation of the PREMIS standard was one of the principles which permeates the SIP building process. All relevant legal aspects and formal agreements, referred to the organizations involved in the different OAIS functions of the SDL digital repository, were analyzed and structured for their inclusion into the forthcoming AIP management, and for unleashing of the preservation strategies, and for supporting the authenticity of resources. © Springer-Verlag Berlin Heidelberg 2014."
A. Dolan-Mescal; M. Farwell; S. Howard; J. Rozler; M. Smith,2014,"A digital file inventory of the queens college special collections and archives: Findings, analysis and recommendations for long-term preservation","Purpose – This paper aimed to conduct an inventory of digital resources for the Queens College Special Collections and Archives and had two purposes. The first was to assess the digital resources for a department too understaffed to address digital preservation and to provide a step-by-step program for them to start thinking in the long-term. The second was to show how these steps can be generalized for many institutions just starting to have digital holdings and looking to create a long-term digital preservation plan.; Design/methodology/approach – The main method for research involved taking a significant sampling of the department’s digital holdings and conducting an inventory of them, analyzing such characteristics as file size, names, formats and metadata. After the inventory was conducted, recommendations were made to the department based on best practices in the field of digital preservation.; Findings – We found that while the department generally does not follow industry-best practices for preservation, the files were relatively new and, therefore, many issues could still be fixed. With a concrete plan and a bit of effort, their digital files can be more easily accessible and protected against future threats.; Originality/value – The issues that the Department of Special Collections had with their digital holdings are similar to those at many other institutions – especially educational ones where staff turnover is high. This case study could help similar small organizations start to access their digital holdings and start formulating a plan for long-term preservation. © ."
A. Durand; C. Fry,2014,Valuation of ICT innovation: Estimating customer willingness to pay for legal digital archiving,"Development of Luxembourgish regulation for legal digital archiving provides opportunities to banks to collaborate with professional of financial sector (PFS) to offer full documents dematerialisation service to their customers. This paper attempts to analyse the diffusion process of legal digital archiving service and utilises the contingent valuation method to determine an ideal base profile for the resident workforce in Luxembourg according to their estimated willingness to pay (WTP). The survey was conducted using a representative sample of 735 respondents and it shows that the average willingness to pay for the benefits of such a service varies in six price bands ranging from 3.3 to 7.7 euros per month per person, depending on the consumption profile that characterises the respondent. The average WTP for the entire population is 6.6 euros per month per person. Copyright © 2014 Inderscience Enterprises Ltd."
A. Fresa,2014,DIGITAL CULTURAL HERITAGE ROADMAP FOR PRESERVATION,"The amount of data produced by the Cultural Heritage sector is continually increasing thanks to the numerous initiatives put in place by the cultural institutions for the digitization of their content. This process has also been accelerated by the emergence of cultural portals including regional, national and thematic portals and the European cultural portal Europeana. The Digital Cultural Heritage (DCH) sector also has the challenge of the complexity of the information itself. This is because of the relationship that each cultural object has with the collections it is part of, with the memory institutions where it is held, with the other objects of the same nature and/or culturally connected with it, and the many other types of relationships that represent the real scientific value of the digitised cultural object (be it a book, an archival record, an artefact from a museum, a sound recording or a video). Further, the investment in the production of the digital cultural heritage data is extremely high because the description of each object requires the human intervention of experts in the sector in order to associate the necessary metadata. Automatic extraction of knowledge (metadata) from the digital representation of cultural items is still far from being at a production level. It is not yet commonly available or seamless to the cultural institutions that are engaged in the digitisation of their collections. In addition to the DCH content that derive from digitisation processes applied to the tangible heritage, also born digital cultural heritage is more and more a reality, particularly in the artistic scenario. Plastic artists are commonly using 3D modelling for their studies. Architects, writers, multimedia artists, graphic designers and almost all other artistic expressions produce data that need to be preserved for the researchers of today and for the future generations. Digital cultural data is therefore extremely precious and its preservation is more and more an imperative priority. This paper intends to discuss these matters in the light of the ongoing work carried out by the DCH-RP project (www.dch-rp.eu) funded by the European Commission. © Edinburgh University Press"
A. Goethals; F. Frey; R. Wandler; C. Weary; S. McEwen; S. Soc Imaging; Technol,2014,Migrating Repository Metadata and Users: The Harvard DRS2 Project,"The Digital Repository Service (DRS), first launched in 2000, is Harvard Library's long-term preservation and access repository. The DRS is central to the Library's discovery, access and management infrastructure; and vital to digitization, reformatting and collection management workflows throughout the university.In 2008 the Library began the DRS2 project - a multi-year repository enhancement project to update to the latest technologies and digital preservation standards and practices; and to provide curators, collection managers and repository staff with significantly enhanced tools. This paper describes early findings of the last stage of the DRS2 project - the migration of the repository metadata for over 46 million files into the newly enhanced DRS, and the facilitated transition of DRS users to learning and adopting the new repository concepts and tools."
A. Herbet,2014,Immaterial art stock project - Digital preservation in 3D virtual museum,"Immaterial art stock is a research project to preserve artworks created inside 3D digital spaces (such as Second Life, OpenSim, etc.). This project is initiated by the research program Spatial Media of Ecole nationale supérieure des Arts Décoratifs of Paris. The main objective is to establish a protocol and methodology to preserve this kind of art. Indeed, 3D digital artworks pose numerous challenges to the traditional art world. The fragility of these spaces, the changes in media and the program compatibility, require new model of preservation. In this paper, we present the project and issues raised. First of all, we will summarise digital conservation studies and describe specific nature of 3D digital artworks. Based on this, we present the components of the project."
A. Jansen,2014,Preservation as a Service for Trust: An InterPARES Trust Specification for Preserving Authentic Records in the Cloud,"Major issues of trust, authenticity and custodial obligations regarding the management and storage of Internet-based records have yet to be resolved, but the adoption of new Cloud based technologies will not wait for legal and regulatory systems to catch up. There exists a strong need for clearly articulated requirements describing effective, tested methods for maintaining the authenticity of records that are removed from their system of creation and placed into the care and custody of Cloud Service Providers. As part of the InterPARES Trust research project, Preservation as a Service for Trust (PaaST) is developing a set of preservation services that detail those actions, business rules and necessary metadata that provide supporting evidence of the authenticity of records entrusted to the Internet."
A. K. Rinehart; P. A. Prud'homme; A. R. Huot,2014,Overwhelmed to action: Digital preservation challenges at the under-resourced institution,"Purpose: The purpose of this paper is to examine the importance of beginning digital preservation efforts with restricted resources. Design/methodology/approach: The paper presents a case study approach, which is enhanced by advice from national experts in digital preservation. Findings: This paper details how Milner Library digital preservation advocates have approached the task by seeking collaborations, speaking to administration, participating in national efforts and starting with small steps. Research limitations/implications: As a case study, this paper is limited to one institution's experience with promoting digital preservation. Practical implications: This paper reviews basic misconceptions about and challenges with digital preservation. Many smaller or mid-sized institutions are left out of the digital preservation conversation because they cannot begin to meet national standards with restricted resources. Originality/value: This paper represents small and mid-sized institutions and the challenges of digital preservation. As well, the paper includes valuable insights from national experts in digital preservation. © ."
A. Kulmukhametov; C. Becker,2014,"Content profiling for preservation: Improving scale, Depth and quality","Content profiling in digital preservation is a crucial step that enables controlled management of content over time. However, large-scale profiling is facing a set of challenges. As data grows and gets more diverse, the only option to control it is to combine outputs of multiple characterization tools to cover the varieties of formats and extract features of interest. This cooperation of tools introduces conflicting measures and poses challenges on data quality. Sparsity and labeling conflicts make it difficult or impossible to partition, sample and analyze large metadata sets of a content profile. Without this, however, it is virtually impossible to manage heterogeneous collections reliably over time.; In this paper, we present the content profiling tool C3PO, which includes rule-based techniques and heuristics designed for conflict reduction. We conduct a set of experiments in which we assess the effect of creating such a mechanisms and rule set on the quality and effectiveness of content profiling. The results show the potential of simple conflict reduction rules to strongly improve data quality of content profiling for analysis and decision support. © Springer International Publishing Switzerland 2014."
A. M. Tammaro; V. Casarosa,2014,Research Data Management in the curriculum: An interdisciplinary approach,"Research Data Management is broadly understood as collecting, analyzing, publishing, reanalyzing, critiquing, and reusing data. The increase of digital content in the broad areas of Institutional and domain specific Repositories, Libraries, Archives and Museums and the increased interest in the sharing and preservation of research data"" have triggered the emergence of new roles such as Data Curator. The paper refers about the on-going investigation of current data curator education and training programs with regard to the role of information professionals and/or data scientists in the research lifecycle. The investigation has been based on a series of workshops and events discussing the concerns of researchers and teachers about digital library and digital curation. A first list of competencies and skills at technical and operational level that professionals should have, has been evidenced. The theoretical framework and structure of educational programmes should have sufficient flexibility to accommodate the needs of various groups of specialists. © 2014 The Authors. Published by Elsevier B.V. This is an open access article under the CC BY-NC-ND license 10.1016/j.procs.2014.10.023."""
A. Neatrour; M. Brunsvik; S. Buckner; B. McBride; J. Myntti,2014,"The SIMP tool: Facilitating digital library, metadata, and preservation workflow at the University of Utah's J. Willard Marriott Library","This article presents a case study of the Submission Information Metadata Packaging (SIMP) tool developed at the University of Utah's J. Willard Marriott Library. The Library designed this platform-independent tool to facilitate the deposit of descriptive metadata and derivative formats into CONTENTdm, the Library's current digital asset management system. It also supports the submission of technical metadata and archival content into the Ex Libris Rosetta digital preservation system. The Marriott Library deliberately developed the SIMP tool to accommodate multiple workflows and ingestion processes in a modular fashion, which allows the Library to easily modify the tool to extend its functionality to other digital asset management and preservation systems or enterprise repositories. © 2014 Anna Neatrour, Matt Brunsvik, Sean Buckner, Brian McBride and Jeremy Myntti."
A. Oßwald,2014,Langzeitsicherung digitaler Informationen durch Bibliotheken,"Given the rapid progress of digital transformation, the long-term preservation of digital information is one of the most urgent challenges facing us. The article provides a concise overview of the developments to date. It highlights problem areas and desirable goals, identifies coordination and cooperation as urgent tasks, and urges libraries to redouble their efforts with regard to addressing the issues and providing suitable qualification."
A. Pace,2014,Technologies for large data management in scientific computing,"In recent years, intense usage of computing has been the main strategy of investigations in several scientific research projects. The progress in computing technology has opened unprecedented opportunities for systematic collection of experimental data and the associated analysis that were considered impossible only few years ago. This paper focuses on the strategies in use: it reviews the various components that are necessary for an effective solution that ensures the storage, the long term preservation, and the worldwide distribution of large quantities of data that are necessary in a large scientific research project. The paper also mentions several examples of data management solutions used in High Energy Physics for the CERN Large Hadron Collider (LHC) experiments in Geneva, Switzerland which generate more than 30,000 terabytes of data every year that need to be preserved, analyzed, and made available to a community of several tenth of thousands scientists worldwide. © World Scientific Publishing Company."
A. Recker; C. Engelhardt; A. Osswald; S. Strathmann; S. Soc Imaging; Technol,2014,"Training and education in digital curation in Germany, Austria, and Switzerland","Established in 2005 as part of the German nestor competence network, the nestor Qualification"" working group addresses questions of training and education in digital preservation for a broad and heterogeneous target audience. We introduce the five core areas of activity of the working group, giving an overview of the lessons learned and an outlook on future developments. In particular, we focus on the cooperation in the field of initial vocational education and the development of shared curricular modules in this area."""
A. Rubio; J. Guallar,2014,A case report on the role of the documentalist in an audiovisual platform: RelTV,"This paper reports on three projects completed by a documentalist for the new audiovisual platform RelTV: a relational database, a digital preservation plan and an example of a journalistic-documental product in the form of an interactive map of videos. The paper reports on how the three projects were designed and developed and then analyzes the implications and viability of such initiatives, reflecting on the professional contribution that documentalists can make in this field."
A. Smith,2014,"The digital preservation conundrum, part 1","Digital information is difficult to preserve for long-term access because of several factors: the dynamic nature of the content; the lack of libraries' clear rights and incentives to preserve content that is usually licensed; the effect of copyright extension on the roles and responsibilities for preservation; and the changing needs of the users. Several institutional responses to these challenges are discussed. © 2004 by the North American Serials Interest Group, Inc. All rights reserved."
A. T. Geertinger,2014,Turning music catalogues into archives of musical scores - Or vice versa: Music archives and catalogues based on MEI XML,"Traditionally, digital collections of musical metadata, i.e., information about musical works - such as library catalogues or thematic catalogues are based on relational databases. Digital archives of musical scores, on the other hand, usually consist of collections of files, each containing one work in some presentation format (primarily PDF). Both types of collections are technically easy to build, but they have a number of limitations in terms of long-term preservation, data exchange and data re-use, and flexibility. A text-based data structure sophisticated enough to contain both detailed metadata and fully-featured scores may be a way of overcoming some of these limitations and at the same time include catalogue data in the score and vice versa. The Music Encoding Initiative (MEI) offers a framework for such an approach based on XML files. The article discusses pros and cons and illustrates some of the possible use cases."
A. Uherek; S. Maier; U. M. Borghoff,2014,An approach for long-term preservation of digital videos based on the extensible MPEG-4 textual format,"Long-term preservation of data, and especially the long-term preservation of digital videos is a challenging task. In this paper, we summarize the challenges that need to be addressed in this context. We suggest the use of a high-level file format for the long-term preservation of digital videos. Based on this idea, we introduce an XMT-based approach for the long-term preservation of digital videos in the context of Open Archive Information System (OAIS) infrastructures. The approach makes it possible to archive data in a way that ensures convenient, high quality availability of information with a high degree of authenticity. © 2014 IEEE."
B. A. Jurik; A. A. Blekinge; R. B. Ferneke-Nielsen; P. Moldrup-Dalum; Ieee,2014,Bridging the Gap Between Real World Repositories and Scalable Preservation Environments,"Integrating large scale processing environments, such as Hadoop, with traditional repository systems, such as Fedora Commons 3, have long proved a daunting task. In this paper we show how this integration can be achieved using software developed in the SCAPE project. The SCAPE integration is based on four steps: retrieving the metadata records from the repository, reading the records and their references to data files, updating the records, and storing them back in the repository. This allows full use of the Hadoop system for massively distributed processing without causing excessive load on the repository.We present a proof of concept integration based on repository systems at the Danish State and University Library and the Hadoop execution environment. As a sample collection we use data from the Newspaper Digitisation Project, a collection of more than 30 million JP2 images. The use case is to perform feature extraction and validation of the JP2 images. The validation is done against an institutional preservation policy expressed in the machine readable SCAPE Control Policy vocabulary. The feature extraction will be done using the Jpylyzer tool. We perform an experiment with various-sized sets of JP2 images, to test the scalability and correctness of the solution.We show that it is both possible and beneficial to use this approach when having to perform preservation actions on massive collections stored in traditional digital repositories."
B. C. Björk; M. Laakso; P. Welling; P. Paetau,2014,Anatomy of green open access,"Open access (OA) is free, unrestricted access to electronic versions of scholarly publications. For peerreviewed journal articles, there are two main routes to OA: publishing in OA journals (gold OA) or archiving of article copies or manuscripts at other web locations (green OA). This study focuses on summarizing and extending current knowledge about green OA. A synthesis of previous studies indicates that green OA coverage of all published journal articles is approximately 12%, with substantial disciplinary variation. Typically, green OA copies become available after considerable time delays, partly caused by publisherimposed embargo periods, and partly by author tendencies to archive manuscripts only periodically. Although green OA copies should ideally be archived in proper repositories, a large share is stored on home pages and similar locations, with no assurance of longterm preservation. Often such locations contain exact copies of published articles, which may infringe on the publisher's exclusive rights. The technical foundation for green OA uploading is becoming increasingly solid largely due to the rapid increase in the number of institutional repositories. The number of articles within the scope of OA mandates, which strongly influence the self-archival rate of articles, is nevertheless still low. © 2013 ASIS&T."
B. H. Brudeli,2014,A holistic approach to digital preservation,"Archivator, presented at Archiving 2012, is a solution for secure, migration-free long-term preservation of digital data. It consists of equipment and processes needed for writing and retrieving digital data. During the development, we realized the need of a truly holistic solution for digital preservation. Subsequently, two industrial consortiums funded by EU's Eurostar program and Norwegian Research Council were set up; MiLoS and AStoR. The outcome is a turn-key solution designed specifically for digital preservation requirements. It includes all components needed in a full work-flow; digital data-writer, data-reader, software, hardware, processing machines, storage solution and storage medium. Yet it is an open technology where users are not locked in by any vendors. All materials are tested to ensure data integrity remains intact for 500 years. National Archives of Sweden has successfully tested the Archivator workflow on various digital data objects in an OAIS [1] context. Copyright 2014 Society of Motion Picture and Television Engineers (SMPTE) - All Rights Reserved."
B. Rasuli; N. Naghshineh,2014,Digital library education in iran: Perspectives of library and information science educators and academic librarians,"This study explores Iranian Library and Information Science (LIS) educators' and academic librarians' viewpoints about a dedicated digital library education programme, as well as solicits proposed models and courses on digital libraries. A survey was administered on a sample of 45 LIS educators and66 academic librarians via an online questionnaire. Responses were analyzed by descriptive statistics (for closed questions) and content analysis (for open-ended questions). Results show that the current LIS education curriculum in Iran does not sufficiently teach LIS students and librarians digital library principles and concepts; in addition, a high majority of LIS educators and academic librarians are in favour of a dedicated digital library education programme. This study provides the empirical data for the design and delivery of a dedicated programme or relevant courses on digital libraries at Iranian library schools, especially at the newly established LIS departments in Iran. Digital librarymanagement, digital preservation, digitization, digital library architecture, and metadata would be the key components in a digital library education programme. Research on digital library education has not been carried out before in Iran. As such, this paper may fill the research gap between theory and practice of Iranian digital librarianship, as well as facilitates LIS departments to design digital library programme and implement the courses in their curriculum."
B. Winston,2014,Personal digital archiving: Guidance and perspectives,"The Library of Congress maintains a digital preservation blog called The Signal. This book contains a series of reformatted posts from that blog on the subject of personal digital archiving. Specifically, the topics include guidance for such things as choosing file formats and adding descriptions to digital photos; first hand accounts of working with and preserving personal collections; descriptions of outreach activities and interviews with library professionals on the subject of personal digital archiving, and many others. Photo albums, letters, home movies and paper documents are a vital link to the past. Personal information we create today has the same value. The only difference is that much of it is now digital. Preserving digital information is a new concept that most people have little experience with. This book provides knowledge and tips to ensure that digital materials last a lifetime by taking steps to preserve them. © 2014 by Nova Science Publishers, Inc. All rights reserved."
C. Arviset; N. Hanowski; F. Jansen; M. Kessler; D. Lennon; P. Osuna,2014,Long-term Strategy for ESA Science Archives,"The Science Archives at ESAC represent a major research and discovery asset for the scientific community. They currently contain data from 13 missions - astronomy from gamma-rays to microwaves and solar system data from the Sun through Venus, the Moon, Mars, Titan and out to comets. In the next few years, data from another 5 missions (including heliospheric ones) will be added. This paper describes the long-term strategy which has been defined for these archives to cover science exploitation, long-term preservation and support to the science operations."
C. Becker; E. Cardoso,2014,Report on the capability assessment and improvement workshop (CAIW) at iPres 2013,"While Digital Preservation is making progress in terms of tool development, progressive establishment of standards and increasing activity in user communities, there is a lack of approaches to systematically assessing, comparing and improving how organizations go about achieving their preservation goals. This currently presents a challenge to many organizations for whom digital stewardship is a concern and reveals a substantial gap between theory and practice. To provide an interactive, focused venue for those interested in systematic approaches for assessment and improvement, we organized the first Capability Assessment and Improvement Workshop (CAIW) in Lisbon, on September 5, 2013, as part of the 10th International Conference on Digital Preservation (iPres 2013). This article provides a report on the issues discussed and attempts to synthesize the main conclusions with the intention of stimulating further discussion in the community on this topic. © 2014 Christoph Becker and Elsa Cardoso."
C. Becker; L. Faria; K. Duretec,2014,Scalable decision support for digital preservation,"Purpose-Preservation environments such as repositories need scalable and context-aware preservation planning and monitoring capabilities to ensure continued accessibility of content over time. This article identifies a number of gaps in the systems and mechanisms currently available and presents a new, innovative architecture for scalable decision-making and control in such environments.; Design/methodology/approach-The paper illustrates the state of the art in preservation planning and monitoring, highlights the key challenges faced by repositories to provide scalable decision-making and monitoring facilities, and presents the contributions of the SCAPE Planning and Watch suite to provide such capabilities.; Findings-The presented architecture makes preservation planning and monitoring context-aware through a semantic representation of key organizational factors, and integrates this with a business intelligence system that collects and reasons upon preservation-relevant information. Research limitations/implications-The architecture has been implemented in the SCAPE Planning and Watch suite. Integration with repositories and external information sources provide powerful preservation capabilities that can be freely integrated with virtually any repository. Practical implications-The open nature of the software suite enables stewardship organizations to integrate the components with their own preservation environments and to contribute to the ongoing improvement of the systems.; Originality/value-The paper reports on innovative research and development to provide preservation capabilities. The results enable proactive, continuous preservation management through a context-aware planning and monitoring cycle integrated with operational systems. © ."
C. C. Dearborn; A. J. Barton; N. A. Harmeyer,2014,The Purdue University Research Repository: HUBzero customization for dataset publication and digital preservation,"Purpose: The purpose of this case study is to discuss the creation of robust preservation functionality within PURR. The study seeks to discuss the customization of the HUBzero platform, composition of digital preservation policies, and the creation of a novel, machine-actionable metadata model for PURR's unique digital content. Additionally, the study will trace the implementation of the Open Archival Information System (OAIS) model and track PURR's progress towards Trustworthy Digital Repository certification. Design/methodology/approach: This case study discusses the use of the Center for Research Libraries Trusted Repository Audit Checklist (TRAC) certification process and ISO 16363 as a rubric to build an OAIS institutional repository for the publication, preservation, and description of unique datasets. Findings: ISO 16363 continues to serve as a rubric, barometer and set of goals for PURR as development continues. To become a trustworthy repository, the PURR project team has consistently worked to build a robust, secure, and long-term home for collaborative research. In order to fulfill its mandate, the project team constructed policies, strategies, and activities designed to guide a systematic digital preservation environment. PURR expects to undertake the full ISO 16363 audit process at a future date in expectation of being certified as a Trustworthy Digital Repository. Through its efforts in digital preservation, the Purdue University Research Repository expects to better serve Purdue researchers, their collaborators, and move scholarly research efforts forward world-wide. Originality/value: PURR is a customized instance of HUBzero®, an open source software platform that supports scientific discovery, learning, and collaboration. HUBzero was a research project funded by the United States National Science Foundation (NSF) and is a product of the Network for Computation Nanotechnology (NCN), a multi-university initiative of eight member institutions. PURR is only one instance of a HUBzero's customization; versions have been implemented in many disciplines nation-wide. PURR maintains the core functionality of HUBzero, but has been modified to publish datasets and to support their preservation. Long-term access to published data are an essential component of PURR services and Purdue University Libraries' mission. Preservation in PURR is not only vital to the Purdue University research community, but to the larger digital preservation issues surrounding dynamic datasets and their long-term usability. © ."
C. Coutinho; A. Cretan; R. Jardim-Goncalves,2014,Modelling services for interoperability negotiation,"The evolution of businesses, driven by the advent of the internet and subsequent globalisation, was very quick and sudden. Enterprises that had traditional development strategies and that were used to slow changes are suddenly feeling the urge to evolve or face obsolescence. This fast-paced evolution frequently leads to mistakes and erroneous decisions, many of which are solely detected after a long period. When this happens, frequently the only solution is to return to a previous stable business stage before proceeding. The EU co-funded FP7 TIMBUS project comprises tools and techniques to improve business continuity featuring an intelligent strategy for digital preservation of business assets and environments based on riskmanagement. This paper proposes the modelling of service-based negotiation strategies to help in two phases: First in the definition of the enterprise business interoperability strategy, and second, in the reasoning of assets and concepts needed for the capture of digital preservation of business assets. Copyright © 2014 SCITEPRESS - Science and Technology Publications. All rights reserved."
C. Da Silva Cunha; C. B. Perez,2014,Digital preservation of photographs,"This study consists of a literature review on digital preservation of photographs, as a set of activities designed to ensure your long-term access. Points digital objects as the representation of information in a sequence of binary digits, whether born digital or arising digitizing analog media, and analyzes the digital preservation of photographs from this concept. Presents strategies for digital preservation of these objects at both the image and the hardware and software. Concludes that the set of strategies chosen should aim to preserve, but also the management and dissemination of photographs, since the major goals of a conservation program are to assure long-term access and disseminate institutional memory or personal account."
